B	19007710	2	Golden City	Abhishek Thakur	27	26	0	3	103.85	0	39122063
B	19007710	1	Trailblazers	Harish Pannala(tpg)	16	16	2	0	100.00	1	3052877
B	19007710	2	Golden City	Sarbjeet Singh	14	15	1	0	93.33	1	39121302
W	19007710	1	Golden City	Ragu Sharma	3.0	12	3	4.00	13	1	39147762
W	19007710	2	Trailblazers	Anudeep Kona	3.0	9	2	3.00	13	1	41692406
W	19007710	2	Trailblazers	Pardhu Madarapu	2.0	10	2	5.00	7	0	15282834
B	19007708	1	Avengers	Karan Darji	28	21	4	0	133.33	1	42405047
B	19007708	2	FERAL XI	Varun Jampani	25	21	3	0	119.05	1	15282785
B	19007708	2	FERAL XI	Kushal Reddy	20	14	2	0	142.86	1	15283637
W	19007708	1	FERAL XI	Adnan Khan	3.0	23	3	7.67	8	0	42302317
W	19007708	2	Avengers	Ravish Sharma	3.0	24	3	8.00	9	0	42374685
W	19007708	1	FERAL XI	Ayaan Shaikh	2.0	4	2	2.00	9	0	42302314
B	19007712	2	TCF	Srikanth Reddy P	34	24	4	1	141.67	0	9118169
B	19007712	1	Oshawa Fighters	Srinivasuk	29	21	2	0	138.10	0	2620753
B	19007712	2	TCF	Sharath Reddy Kongari	24	20	2	1	120.00	0	23027924
W	19007712	1	TCF	Praveen Reddy	3.0	20	2	6.67	8	0	5413093
W	19007712	1	TCF	Ananda Reddy Yarradoddi	1.0	4	1	4.00	3	0	21776986
W	19007712	2	Oshawa Fighters	Vinith Reddy Reddy	3.0	14	1	4.67	10	0	23028014
B	19007713	1	Taunton Titans	Rohit Kumar	28	23	2	2	121.74	1	32043677
B	19007713	2	Panjab XI	Arpan Singh	24	12	1	3	200.00	1	31040706
B	19007713	2	Panjab XI	Sanjiv Sharma	20	16	3	0	125.00	1	39683013
W	19007713	1	Panjab XI	Ramandeep Singh	3.0	6	3	2.00	13	0	38771920
W	19007713	1	Panjab XI	Sukhpal Singh	3.0	9	2	3.00	12	0	40841211
W	19007713	1	Panjab XI	Sanjiv Sharma	3.0	10	2	3.33	12	0	39683013
B	19007714	1	Nizam Royal Knights	Kishore Dk	61	30	4	6	203.33	1	21832964
B	19007714	1	Nizam Royal Knights	Sattireddy Nalmala	55	30	7	2	183.33	0	128334
B	19007714	1	Nizam Royal Knights	Charith Reddy	21	6	5	0	350.00	1	16203159
W	19007714	1	Bowmanville Cricket Club	Md Shah Alam	3.0	26	4	8.67	9	0	30090432
W	19007714	2	Nizam Royal Knights	Raghu Reddy	2.0	10	2	5.00	9	0	15998250
W	19007714	2	Nizam Royal Knights	Sampath Kantimahanthi	2.0	13	2	6.50	8	0	30048429
B	19007722	1	Invincible Trailblazers	Kvs Narayana	56	20	5	5	280.00	1	13816654
B	19007722	1	Invincible Trailblazers	Aftab	27	16	0	4	168.75	1	1541269
B	19007722	1	Invincible Trailblazers	Viraj	24	8	2	2	300.00	0	4143349
W	19007722	2	Invincible Trailblazers	Barani S	3.0	6	3	2.00	13	1	21595698
W	19007722	2	Invincible Trailblazers	Kvs Narayana	2.0	5	3	2.50	9	0	13816654
W	19007722	2	Invincible Trailblazers	Yogeesha Naik	2.0	6	2	3.00	7	0	21500136
B	19007721	1	DSK Friends XI	Sukant Sharma	28	22	2	1	127.27	1	39090207
B	19007721	1	DSK Friends XI	Neeladri Dey	25	13	4	0	192.31	1	31989572
B	19007721	1	DSK Friends XI	Vyom Sharma	25	23	3	0	108.70	1	42483036
W	19007721	2	DSK Friends XI	Luxminarayanan Venkatapathy	2.0	0	3	0.00	12	2	19801237
W	19007721	2	DSK Friends XI	Pradeep Poptani	2.0	11	3	5.50	8	0	16293616
W	19007721	2	DSK Friends XI	Sukant Sharma	2.0	6	2	3.00	8	0	39090207
B	19007720	1	Royal Challengers Bowmanville	Ash Kenneth	40	20	3	4	200.00	1	31422300
B	19007720	2	North Stars T15 Fall League 2025	Ashish Khattar	31	21	4	0	147.62	0	16183456
B	19007720	1	Royal Challengers Bowmanville	Syed Fasiuddin	28	13	6	0	215.38	1	23808709
W	19007720	1	North Stars T15 Fall League 2025	Bhuvan Anand	3.0	29	3	9.67	7	0	16145433
W	19007720	2	Royal Challengers Bowmanville	Afzal Khan	3.0	18	2	6.00	12	0	42313627
W	19007720	2	Royal Challengers Bowmanville	Brian Gohil	3.0	21	2	7.00	7	0	32141157
B	19007725	2	Avengers	Rohan Chadha	40	36	3	1	111.11	1	42515675
B	19007725	1	Whitby Thunderbolts Gtcc fall	Venkata Balaji Balabha Drapatruni	24	23	4	0	104.35	1	23656575
B	19007725	2	Avengers	Gursimran Chauhan	21	16	2	1	131.25	1	42350491
W	19007725	1	Avengers	Chintan Patel	2.0	17	3	8.50	6	0	42396014
W	19007725	1	Avengers	Nagu	2.0	14	2	7.00	5	0	9890669
W	19007725	2	Whitby Thunderbolts Gtcc fall	Naren C	3.0	10	1	3.33	11	0	24254648
B	19007723	2	Oshawa Fighters	Madhav	23	15	3	1	153.33	0	14174243
B	19007723	2	Oshawa Fighters	Srinivasuk	15	9	3	0	166.67	0	2620753
B	19007723	1	Birthday Boys XI	Anubhav Nirula	7	9	1	0	77.78	1	31249272
W	19007723	1	Oshawa Fighters	Vinith Reddy Reddy	3.0	4	3	1.33	15	1	23028014
W	19007723	1	Oshawa Fighters	Deepak Manukonda	2.0	9	2	4.50	8	0	21933613
W	19007723	1	Oshawa Fighters	Dileep Rittapalli	1.1	6	2	5.14	5	0	23028081
B	19007724	2	Harmony Strikers	Deep Patel	27	16	3	1	168.75	0	29734345
B	19007724	1	TCF	Varun Kakubal	27	18	1	2	150.00	1	23206427
B	19007724	2	Harmony Strikers	Bishal Chakraborty	26	20	3	1	130.00	1	31271439
W	19007724	1	Harmony Strikers	Harsh Patel	3.0	9	2	3.00	10	0	29748236
W	19007724	2	TCF	Sudheer Aki	3.0	11	2	3.67	12	0	14762522
W	19007724	1	Harmony Strikers	Bishal Chakraborty	2.3	14	2	5.60	8	0	31271439
B	19007726	1	Trailblazers	Uthej Kumar Pappu	63	44	9	1	143.18	1	5733409
B	19007726	2	Friends United - Fall T15	Prince	42	22	0	5	190.91	1	23202334
B	19007726	2	Friends United - Fall T15	Navdeep Singh	30	22	3	0	136.36	0	39095211
W	19007726	1	Friends United - Fall T15	Ashu Sharma	3.0	10	2	3.33	10	0	6562419
W	19007726	1	Friends United - Fall T15	Karan Bajwa	3.0	16	2	5.33	7	0	6249085
W	19007726	2	Trailblazers	Subbu Pakalapati	3.0	33	2	11.00	9	0	132243
B	19007727	2	Taunton Titans	Ishaan Raghav	50	34	6	1	147.06	1	32430873
B	19007727	1	North Stars T15 Fall League 2025	Nilay Shah	42	34	6	0	123.53	0	31954578
B	19007727	1	North Stars T15 Fall League 2025	Bhuvan Anand	41	30	5	1	136.67	1	16145433
W	19007727	2	North Stars T15 Fall League 2025	Ashish Khattar	3.0	13	3	4.33	12	1	16183456
W	19007727	1	Taunton Titans	Mahesh	3.0	15	3	5.00	9	0	9167416
W	19007727	1	Taunton Titans	Vineet Bhat	3.0	22	2	7.33	7	0	41266674
B	19007728	1	Durham Strikers	Bilal Salim	37	34	4	0	108.82	1	41655594
B	19007728	2	Mavericks	Sajin Kumar	36	15	6	1	240.00	0	30109342
B	19007728	2	Mavericks	Jijeesh Girija Vijayan	24	15	2	2	160.00	1	21760491
W	19007728	1	Mavericks	Abhinandh Abhi	3.0	10	2	3.33	14	0	21201797
W	19007728	1	Mavericks	Nasakath Shaikkumthodi	3.0	18	2	6.00	9	0	31273662
W	19007728	2	Durham Strikers	Arun Inpamozhi	1.3	16	2	10.67	5	0	16113070
B	19007730	2	Royal Punjab	Gurwinder Toor	30	19	3	2	157.89	1	31489988
B	19007730	2	Royal Punjab	Prince	21	15	3	1	140.00	1	23012388
B	19007730	2	Royal Punjab	Bikramjeet Singh	19	10	2	1	190.00	0	41099524
W	19007730	1	Royal Punjab	Jugraj Singh	2.2	7	3	3.00	11	0	41127561
W	19007730	1	Royal Punjab	Amritpal Singh	3.0	15	2	5.00	12	0	41127556
W	19007730	1	Royal Punjab	Parbjot Singh Aulakh	2.0	14	2	7.00	7	1	41091824
B	19007731	2	Redwings	Jackson Ouseph	26	22	1	1	118.18	1	21818163
B	19007731	2	Redwings	Christo Joy	24	10	1	3	240.00	1	30376963
B	19007731	1	Team Manjummel	Sampath Kumar Madala	19	11	2	1	172.73	1	15283339
W	19007731	2	Team Manjummel	Srikanth Kommineni	3.0	9	4	3.00	12	0	29518721
W	19007731	2	Team Manjummel	Vinod Goud Boyapalli	2.3	25	3	10.00	8	0	32071427
W	19007731	1	Redwings	Christo Joy	3.0	12	2	4.00	12	0	30376963
B	19007733	1	Redwings	Jackson Ouseph	36	28	6	0	128.57	1	21818163
B	19007733	2	Durham United	Mohit Palkar	34	17	2	2	200.00	1	30088867
B	19007733	2	Durham United	Amitkumar Gupta	29	20	5	0	145.00	1	40436326
W	19007733	1	Durham United	Akash Bhalla	3.0	18	2	6.00	10	0	10133419
W	19007733	2	Redwings	Christo Joy	3.0	20	2	6.67	11	0	30376963
W	19007733	1	Durham United	Jay Ray	3.0	23	2	7.67	10	0	21592545
B	19007736	2	Team Manjummel	Tharun Kumar Jalli	41	25	3	2	164.00	1	29519121
B	19007736	1	Whitby Thunderbolts Gtcc fall	Santhosh Gangu	28	24	3	1	116.67	1	23656534
B	19007736	1	Whitby Thunderbolts Gtcc fall	Anekh Reddy	25	21	3	0	119.05	1	30154781
W	19007736	1	Team Manjummel	Srujan Gandla	3.0	14	4	4.67	11	0	23847345
W	19007736	1	Team Manjummel	Nikhil Battula	3.0	15	3	5.00	12	0	32301207
W	19007736	2	Whitby Thunderbolts Gtcc fall	Dileep Nannore	3.0	11	2	3.67	9	0	15992998
B	19007732	1	Thunder Strikers	Ronak Patel	40	38	3	1	105.26	1	40650973
B	19007732	2	Maratha Warriors - GTCC	Pratik Udawant	20	15	3	0	133.33	0	31286233
B	19007732	2	Maratha Warriors - GTCC	Vineesh  M	17	26	1	1	65.38	0	27672383
W	19007732	1	Maratha Warriors - GTCC	Arun Baby	3.0	6	4	2.00	14	0	27672366
W	19007732	2	Thunder Strikers	Rahul Kalra	3.0	19	3	6.33	11	0	10138742
W	19007732	1	Maratha Warriors - GTCC	Digil Davis	3.0	22	3	7.33	8	0	21961653
B	19007741	1	Invincible Trailblazers	Aftab	41	33	4	1	124.24	1	1541269
B	19007741	1	Invincible Trailblazers	Sai Kiran Dande	32	22	1	3	145.45	1	5259750
B	19007741	2	Panjab XI	Arpan Singh	21	19	4	0	110.53	1	31040706
W	19007741	1	Panjab XI	Sukhpal Singh	3.0	12	3	4.00	12	0	40841211
W	19007741	2	Invincible Trailblazers	Sunil Kumar M	0.4	0	2	0.00	4	0	23320728
W	19007741	2	Invincible Trailblazers	Ginil Joseph	3.0	12	2	4.00	10	0	27672341
B	19007739	2	Royal Punjab	Gurwinder Toor	47	28	2	5	167.86	0	31489988
B	19007739	1	Deccan Warriors	Sohail Mohammed	22	29	2	0	75.86	1	30347639
B	19007739	2	Royal Punjab	Lovepreet Khosa	12	5	1	1	240.00	0	41122178
W	19007739	1	Royal Punjab	Amritpal Singh	3.0	6	4	2.00	15	0	41127556
W	19007739	1	Royal Punjab	Parbjot Singh Aulakh	2.4	9	2	3.38	10	0	41091824
W	19007739	1	Royal Punjab	Amrit Amrit	2.0	13	2	6.50	7	0	41671523
B	19007738	1	DSK Friends XI	Luxminarayanan Venkatapathy	35	20	5	1	175.00	1	19801237
B	19007738	2	Durham Strikers	Sathish Rajan	18	16	2	0	112.50	1	41670672
B	19007738	1	DSK Friends XI	Ronit Patel	16	5	4	0	320.00	1	5667774
W	19007738	2	DSK Friends XI	Dharmendra Singh Parihar	2.3	13	3	5.20	7	0	23337498
W	19007738	2	DSK Friends XI	Samil Vig	3.0	19	3	6.33	8	0	31956279
W	19007738	1	Durham Strikers	Santhosh Rajan	3.0	24	3	8.00	7	0	23717445
B	19007743	2	Harmony Strikers	Rajeshwar Bose	58	26	6	3	223.08	1	9928620
B	19007743	1	Oshawa Fighters	Deepak Manukonda	55	34	4	5	161.76	1	21933613
B	19007743	1	Oshawa Fighters	Harsha Settyvari	31	15	2	3	206.67	1	9081401
W	19007743	2	Oshawa Fighters	Vinith Reddy Reddy	3.0	10	3	3.33	11	0	23028014
W	19007743	1	Harmony Strikers	Deep Patel	3.0	16	3	5.33	12	0	29734345
W	19007743	2	Oshawa Fighters	Ramarao Boyapati	3.0	19	3	6.30	8	0	24281581
B	19007742	1	Durham United	Pulkit Malhotra	31	31	4	1	100.00	1	30168192
B	19007742	2	FERAL XI	Varun Jampani	29	29	4	0	100.00	1	15282785
B	19007742	2	FERAL XI	Fardeen Khan	22	9	1	2	244.44	0	27729185
W	19007742	2	Durham United	Utkarsh Siingh	3.0	13	3	4.33	11	0	15282905
W	19007742	1	FERAL XI	Balkar Singh	3.0	15	3	5.00	12	0	41693676
W	19007742	1	FERAL XI	Adnan Khan	2.0	11	2	5.50	6	0	42302317
B	19007745	1	Maple Eagles	Pardeep Singh	22	13	3	0	169.23	1	42485355
B	19007745	2	Durham Strikers	Gopal Kanniappan	16	15	1	0	106.67	1	27728606
B	19007745	1	Maple Eagles	Shaishav Patel	15	6	2	1	250.00	0	42419434
W	19007745	1	Durham Strikers	Santhosh Rajan	3.0	14	3	4.67	9	0	23717445
W	19007745	2	Maple Eagles	Shaishav Patel	2.0	11	3	5.50	6	0	42419434
W	19007745	2	Maple Eagles	Satwinder Singh	3.0	11	2	3.67	11	1	42515588
B	19007747	2	Royal Challengers Bowmanville	Omair Siddiqui	26	20	3	0	130.00	1	23645645
B	19007747	1	Taunton Titans	Rohit Kumar	23	22	1	0	104.55	1	32043677
B	19007747	2	Royal Challengers Bowmanville	Syed Fasiuddin	22	18	4	0	122.22	1	23808709
W	19007747	2	Taunton Titans	Santhosh Kotte	1.0	1	2	1.00	5	0	23359672
W	19007747	1	Royal Challengers Bowmanville	Arpit Mecwan	3.0	15	2	5.00	8	0	32351586
W	19007747	1	Royal Challengers Bowmanville	Seshil Christian	3.0	16	2	5.33	9	0	40513349
B	19007746	2	Toronto Nawabs	Asrar Rahman	19	25	2	0	76.00	1	42406798
B	19007746	1	Golden City	Abhy	13	10	2	0	130.00	1	39113369
B	19007746	1	Golden City	Parry Brar	13	12	2	0	108.33	1	38211758
W	19007746	1	Toronto Nawabs	Rajat Sharma	3.0	16	3	5.33	10	0	32069714
W	19007746	2	Golden City	Harmeet Singh	2.4	15	3	5.62	10	0	39255428
W	19007746	2	Golden City	Bilal Munir	2.0	5	2	2.50	11	1	41846827
B	19007748	2	Thunder Strikers	Kunal Shah	36	32	2	0	112.50	1	15481956
B	19007748	1	Oshawa Fighters	Deepak Manukonda	34	19	4	1	178.95	1	21933613
B	19007748	1	Oshawa Fighters	Harsha Settyvari	27	17	3	1	158.82	0	9081401
W	19007748	2	Oshawa Fighters	Deepak Manukonda	3.0	15	3	5.00	10	0	21933613
W	19007748	1	Thunder Strikers	Rahul Kalra	3.0	12	2	4.00	11	0	10138742
W	19007748	2	Oshawa Fighters	Srinivasuk	3.0	16	2	5.33	10	0	2620753
B	19007749	1	Durham United	Nikhil Rana	36	22	2	3	163.64	0	32554738
B	19007749	1	Durham United	Abhishek Koneri	17	17	0	1	100.00	1	9779769
B	19007749	1	Durham United	Mohit Palkar	15	17	1	0	88.24	1	30088867
W	19007749	2	Durham United	Jay Ray	1.5	1	4	0.55	10	0	21592545
W	19007749	1	Avengers	Mufiz Munshi	3.0	18	4	6.00	10	1	32430389
W	19007749	2	Durham United	Nikhil Rana	2.0	3	3	1.50	10	1	32554738
B	19007750	1	Mavericks	Jijeesh Girija Vijayan	74	37	5	6	200.00	0	21760491
B	19007750	1	Mavericks	Nasakath Shaikkumthodi	50	15	3	6	333.33	1	31273662
B	19007750	1	Mavericks	Ramkumar Pandarathil	21	14	2	1	150.00	0	14295929
W	19007750	2	Mavericks	Daries Antony	2.0	13	3	6.50	8	0	21106964
W	19007750	2	Mavericks	Bala Santhosam	2.0	10	2	5.00	6	0	28305774
W	19007750	1	DSK Friends XI	Pradeep Poptani	3.0	39	2	13.00	4	0	16293616
B	19007751	1	TCF	Abhinay	68	42	2	6	161.90	0	104346
B	19007751	1	TCF	Varun Kakubal	30	19	2	3	157.89	1	23206427
B	19007751	2	Maratha Warriors - GTCC	Vineesh  M	22	11	4	1	200.00	1	27672383
W	19007751	2	TCF	Akhil Reddy	3.0	12	2	4.00	13	0	5549928
W	19007751	2	TCF	Jayakrishna Gujjari	3.0	16	2	5.33	10	0	1225653
W	19007751	2	TCF	Sudheer Aki	2.0	13	2	6.50	9	1	14762522
B	19007754	2	Trailblazers	Anil Sunkara	37	15	2	4	246.67	0	3913067
B	19007754	2	Trailblazers	Abdul Aziz	16	6	2	1	266.67	1	22862830
B	19007754	1	Bowmanville Cricket Club	Md Shah Alam	16	18	0	1	88.89	1	30090432
W	19007754	1	Trailblazers	Anudeep Kona	3.0	19	4	6.33	10	0	39057187
W	19007754	1	Trailblazers	Vishnu Raj	3.0	10	3	3.33	13	1	22723421
W	19007754	1	Trailblazers	Subbu Pakalapati	3.0	8	1	2.67	13	0	132243
B	19007752	1	Team Manjummel	Vinod Goud Boyapalli	51	15	1	6	340.00	1	32071427
B	19007752	1	Team Manjummel	Mahendra Pullaganti	25	23	3	0	108.70	1	29518729
B	19007752	1	Team Manjummel	Junaid Khan	22	13	1	2	169.23	1	42504301
W	19007752	2	Team Manjummel	Vinod Goud Boyapalli	3.0	19	3	6.33	8	0	32071427
W	19007752	2	Team Manjummel	Niranjan Gottipati	3.0	21	2	7.00	10	0	39257621
W	19007752	1	FERAL XI	Jayakumar Narayanasamy	3.0	30	2	10.00	8	0	32071080
B	19007755	2	Invincible Trailblazers	Viraj	33	16	0	4	206.25	0	4143349
B	19007755	1	North Stars T15 Fall League 2025	Gautham Krishnaprasad	30	34	2	0	88.24	0	41973015
B	19007755	1	North Stars T15 Fall League 2025	Jaideep (jd)	22	16	2	0	137.50	1	9081230
W	19007755	2	North Stars T15 Fall League 2025	Devesh Singh	3.0	37	2	12.33	8	0	33410222
W	19007755	2	North Stars T15 Fall League 2025	Nikhil T	3.0	8	1	2.67	15	1	16147694
W	19007755	2	North Stars T15 Fall League 2025	Nilay Shah	3.0	13	1	4.33	9	0	31954578
B	19007753	1	Panjab XI	Surjeet Singh	56	27	3	6	207.41	0	38766896
B	19007753	2	Downtown Hunterz	Mohammed Ateeq	29	29	4	1	100.00	1	18497213
B	19007753	1	Panjab XI	Pawan Khaira	28	19	0	2	147.37	1	32888366
W	19007753	2	Panjab XI	Sanjiv Sharma	4.0	20	5	5.00	16	0	39683013
W	19007753	1	Downtown Hunterz	Faisal Khan	3.0	8	3	2.67	14	0	31875312
